amount,parcelNumber,url,Owner ,Address,Total Acreage,Above Grade sqft.,,Tax District,2021 Land Value,2021 Building Value,2021 Market Value,% Exempt,Exempt Type
12415.37,21082011500000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=21082011500000&nbhd=6420&PA=," 1ST MEDALERT, INC ",3587 W 4700 S,0.58,,506 - OFFIC-CNVRSN,61,"$         225,200","$         351,400","$         576,600",NA,NA
1841.49,08272760160000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=08272760160000&nbhd=144&PA=, 1004 N 1500 W LLC ,1004 N 1500 W,0.14,1153,111 - SNGL FAM RES,13,"$          75,900","$         208,400","$         284,300",NA,NA
22.32,27151270150000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=27151270150000&nbhd=6211&PA=, 10300 REDWOOD ROAD LLC ,10300 S REDWOOD RD,1.81,,553 - HEALTH-CLUB,38,"$        1,524,600","$         327,700","$        1,852,300",NA,NA
4006.30,16084100170000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=16084100170000&nbhd=630&PA=," 1044 S, LLC ",1044 S 1200 E,0.12,1976,106 - RESID-MOTHER-INLAW,13,"$         146,700","$         441,500","$         588,200",NA,NA
8935.16,27163310010000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=27163310010000&nbhd=435&PA=," 10641, LLC ",10641 S URBAN RIDGE RD,0.64,4391,111 - SNGL FAM RES,38,"$         253,100","$        1,197,900","$        1,451,000",NA,NA
10936.82,09324300200000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=09324300200000&nbhd=7580&PA=," 1087 LLC A SERIES OF SELENOS LLC, AN IA ",1087 E THIRD AVE,0.15,,110 - APT-CONVERSN,13,"$         236,000","$         501,800","$         737,800",NA,NA
8037.53,34052010220000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=34052010220000&nbhd=988&PA=," 1100 EAST PROPERTY, LLC ",13438 S 1100 E,1.02,3204,111 - SNGL FAM RES,55,"$         446,400","$         760,600","$        1,207,000",NA,NA
368.66,34052010220000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=34052010220000&nbhd=988&PA=," 1100 EAST PROPERTY, LLC ",13438 S 1100 E,1.02,3204,111 - SNGL FAM RES,55,"$         446,400","$         760,600","$        1,207,000",NA,NA
10000.69,28224040130000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=28224040130000&nbhd=937&PA=," 11613, LLC ",11613 S HIGH MOUNTAIN DR,0.61,3737,111 - SNGL FAM RES,36E,"$         219,200","$         544,300","$         763,500",NA,NA
531.72,28224040130000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=28224040130000&nbhd=937&PA=," 11613, LLC ",11613 S HIGH MOUNTAIN DR,0.61,3737,111 - SNGL FAM RES,36E,"$         219,200","$         544,300","$         763,500",NA,NA
5304.62,16083820070000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=16083820070000&nbhd=7800&PA=," 1300 SOUTH, LLC ",969 E 1300 S,0.23,,110 - APT-CONVERSN,13,"$         381,000","$         341,400","$         722,400",NA,NA
8.48,16073260020000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=16073260020000&nbhd=7820&PA=," 1309 HIDDEN CREEK, LLC ",203-207 E WILLIAMS AVE,0.19,,113 - 3-4 UNITS,13,"$         167,800","$         421,400","$         589,200",NA,NA
52287.47,16073580080000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=16073580080000&nbhd=7830&PA=, 1314 PLAZA LLC ,1321 S STATE ST,1.20,,566 - OFFICE,01V,"$        1,481,100","$         996,600","$        2,477,700",NA,NA
16073.72,16181020270000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=16181020270000&nbhd=7865&PA=, 1438 S PROPERTIES LLC ,1438 S STATE ST,0.32,,573 - RESTRURANT,01V,"$         239,100","$        1,132,800","$        1,371,900",NA,NA
16897.62,16311510390000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=16311510390000&nbhd=8030&PA=, 146 WEST CRYSTAL AVENUE LLC ,3553 S MAIN ST,0.64,,590 - OFFICE/WAREHOUSE,14B,"$         430,800","$         801,900","$        1,232,700",NA,NA
11556.60,16181570100000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=16181570100000&nbhd=7865&PA=, 1588 SOUTH LLC ,1588 S STATE ST,0.17,,573 - RESTRURANT,01V,"$         145,200","$         268,700","$         413,900",NA,NA
5644.62,16181570110000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=16181570110000&nbhd=7865&PA=, 1588 SOUTH LLC ,1594 S STATE ST,0.16,,503 - RETAIL-MIXED,01V,"$         146,000","$         214,200","$         360,200",NA,NA
13901.31,16061050550000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=16061050550000&nbhd=7640&PA=, 159 LLC ,159 S MAIN ST,0.09,,503 - RETAIL-MIXED,01R,"$         254,700","$        1,097,200","$        1,351,900",NA,NA
1771.16,28061340010000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=28061340010000&nbhd=5410&PA=, 180 EAST MAIN LLC ,180 E MAIN ST,0.63,,550 - IND-LIGHT-MFG,35,"$         391,100","$        2,314,500","$        2,705,600",NA,NA
29.69,28061340030000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=28061340030000&nbhd=5410&PA=, 180 EAST MAIN LLC ,192 E MAIN ST,0.08,,905 - COMM-VACANT,35,"$          48,400",$              0,"$          48,400",NA,NA
3969.89,09323530030000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=09323530030000&nbhd=7580&PA=, 19 MMV LLC ,664 E THIRD AVE,0.08,,114 - 5-9 UNITS,13,"$         150,400","$         426,100","$         576,500",NA,NA
1498.89,16194780210000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=16194780210000&nbhd=238&PA=," 1947 TRUST 11/12/2020 BOLLWINKEL, DANE; ",2591 S 600 E,0.10,785,111 - SNGL FAM RES,13,"$          95,700","$         173,200","$         268,900",NA,NA
1795.47,27032010820000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=27032010880000&nbhd=830&PA=, 2 CAN LLC ,8631 S REDWOOD RD,0.64,,911 - RES LOT,37,"$         144,700",$              0,"$         144,700",NA,NA
1832.21,27032010880000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=08364520280000&nbhd=7550&PA=, 200 NORTH LLC ,213 W 200 N,0.01,,913 - VAC-MH-ASSC,13,"$          34,500",$              0,"$          34,500",NA,NA
244.32,08364520280000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=16081300220000&nbhd=83&PA=, 2011 JUDITH A LICHTENSTEIN TR  ET AL ,867 E 800 S,0.10,1553,111 - SNGL FAM RES,13,"$         100,800","$         309,800","$         410,600",NA,NA
5.10,16081300220000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=14324310100000&nbhd=6715&PA=," 215 DEVELOPMENT, LLC ",3904 S 8000 W,4.33,,902 - VACANT-INDUS,ABY,"$         648,200","$          29,700","$         677,900",NA,NA
15482.17,14324310100000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=15013020070000&nbhd=7660&PA=," 216 DEVELOPMENT, LLC ",570 W 400 S,0.63,,594 - STORAGE-WHSE,01N,"$         850,700","$           2,500","$         853,200",NA,NA
10716.68,15013020070000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=15013020080000&nbhd=7660&PA=," 216 DEVELOPMENT, LLC ",570 W 400 S,0.48,,550 - IND-LIGHT-MFG,01N,"$         648,200","$         491,800","$        1,140,000",NA,NA
12647.70,15013020080000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=15013020090000&nbhd=7660&PA=," 216 DEVELOPMENT, LLC ",570 W 400 S,0.16,,912 - VAC-I-C-ASSC,01N,"$         209,700",$              0,"$         209,700",NA,NA
2634.39,15013020090000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=15013020100000&nbhd=7660&PA=," 216 DEVELOPMENT, LLC ",570 W 400 S,0.18,,912 - VAC-I-C-ASSC,01N,"$         240,400",$              0,"$         240,400",NA,NA
3019.82,15013020100000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=15013020130000&nbhd=7660&PA=," 216 DEVELOPMENT, LLC ",570 W 400 S,0.16,,902 - VACANT-INDUS,01N,"$         216,100",$              0,"$         216,100",NA,NA
2713.57,15013020130000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=15013030010000&nbhd=7591&PA=, 217 DEVELOPMENT LLC ,571 W 400 S,0.31,,902 - VACANT-INDUS,13,"$         182,200",$              0,"$         182,200",NA,NA
2316.45,15013030010000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=15013030020000&nbhd=7591&PA=, 217 DEVELOPMENT LLC ,567 W 400 S,0.13,,902 - VACANT-INDUS,13,"$          91,400",$              0,"$          91,400",NA,NA
1162.77,15013030020000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=15013030030000&nbhd=7591&PA=, 217 DEVELOPMENT LLC ,561 W 400 S,0.19,,902 - VACANT-INDUS,13,"$         255,800",$              0,"$         255,800",NA,NA
3211.88,15013030030000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=15013030040000&nbhd=7591&PA=, 217 DEVELOPMENT LLC ,559 W 400 S,0.19,,902 - VACANT-INDUS,13,"$         124,100",$              0,"$         124,100",NA,NA
1578.04,15013030040000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=15013030050000&nbhd=7591&PA=, 217 DEVELOPMENT LLC ,551 W 400 S,0.12,,902 - VACANT-INDUS,13,"$         113,400",$              0,"$         113,400",NA,NA
